gene.id,log2_diff,p.value,adj.p.value
DEOC,-1.0154749714759674,0.00917679248945342,0.03404983060565352
RAN,-0.44192064920364516,0.007388562999820996,0.029296938859986736
RL14,0.5678993244465786,0.17165420528828687,0.2688844371359368
CUL4A,-0.4172576789048499,0.1058614475340442,0.1860863998337742
D19L1,-0.35311265367609934,0.12518822345481712,0.21237763749146282
F7DCB1,-24.36223429015889,2.3185196625904455e-7,6.793603570163916e-6
Q9R1R8,1.2704583507952698,0.005619644869631704,0.02407987613492725
KANK2,1.3366959847355417,2.4701204794979297e-5,4.853168769444668e-4
LSM5,0.01675571787275487,0.9564262457134101,0.9739604182450117
NIPS1,-4.250037009909047,2.8663403446881546e-4,0.0028673549967280568
ACY1,-0.49533009063918954,0.07074295333183435,0.1386544411133493
COQ9,-1.4673715662774072,1.290621658699769e-4,0.001773492175833993
SODM,-0.7292959856640806,0.003302220913889659,0.016367351171455588
MYO1E,0.4441799454039561,0.029373946265725214,0.07288616181127956
NPA1P,-0.40034430209269445,0.5203163858370441,0.6273708918489019
MOGS,-0.7233427543558619,0.007676722555105715,0.030088224338590954
KIF3B,-0.12325987104977898,0.7902708437335315,0.849994416269399
UD17C,-23.93292750992687,1.0109470430408511e-10,2.2967645456348755e-8
LYPA1,0.48018327306611397,0.005537187857049436,0.023906493619005417
RM41,-0.5856484131074424,0.04420593434004025,0.09763945680439086
EMC3,0.06330232492874899,0.5743175054847836,0.67399437503831106
MTDC,-0.4217125842811349,0.005799425663130373,0.024559735672236488
MSH6,-0.367463019373929,0.004658368976343716,0.02126281929654813
TBB2A,-3.040347923913494,3.167174231801688e-5,5.953391185721568e-4
CBR2,-7.688443452297367,9.639576630754538e-7,2.371216844046718e-5
CN37,-0.19147935430157048,0.16316502300741298,0.25904885126874133
Q7TNL7,-0.3133374647019629,0.3200000799867213,0.4362642212614042
SWI5,0.6557400136642819,0.036562596530215125,0.08480904957677955
PSA7,-0.0634737787837949,0.13902299696256903,0.22911771831920497
LACTB,0.33940770025812483,0.2370449741439744,0.3452573910686177
FADS3,26.44551720534795,1.810140362900294e-9,1.2132532136395516e-7
G3UWG1,-0.4554794530016544,0.08016649630378984,0.15183625844610388
ADK,0.7101727764150212,0.002335942694702557,0.012912714615885855
NENF,1.4443080819881366,8.750818022464461e-4,0.006457779596207571
FABP5,-0.46882566873070175,0.010620489533934305,0.03706817988397786
M0QWD1,0.8202717648763134,0.01594969260865182,0.04860722293267602
J3QP80,0.10942527311708616,0.6122288264609671,0.7074053997213099
RL27A,0.18075220758971255,0.021671937977740374,0.05895062992579889
BAZ1B,0.01811617466102078,0.9165430992011433,0.9435243509271446
TBX15,-0.6038729045953666,0.22807434535524182,0.334884401709889
SIR2,0.2719246633734258,0.23208884894385692,0.3392788198977512
F8VPX1,-0.03752070978541511,0.7565951294391797,0.8232460152511083
IMA5,-0.4104830273595681,0.31319964053143595,0.42919551840363557
NXF1,0.5627238721144714,0.0687863040024057,0.1356554966871352
F6UK66,-0.2120439759892676,0.28971500428451596,0.4035352296657798
RM19,-1.5277845018208502,0.016066298889779868,0.04887343593570441
RL18A,-0.242814479692548,0.07640819350391839,0.14638781303515133
E9Q0C3,25.07873275512458,5.071930543840155e-10,5.774755204915148e-8
D6RCG7,-0.1526036904260586,0.40569600738938516,0.521179429222018
BPHL,-1.2791444560182654,0.0016786285446509994,0.010244004211997294
NSMA,-1.3912320536189533,1.6044718425689824e-4,0.0020575421619775237
SEPT5,0.010359224437472392,0.9714666571092518,0.982339037918711
HMGB2,0.046129101268270745,0.7927234339644699,0.8514832572367688
CTNB1,1.145447695273031,0.0011051233490703327,0.007776766635626345
NDUS1,0.3551755937953409,0.01778977736691792,0.05247133360918977
RIN1,0.592004708918175,0.27362416881780766,0.38625303320544224
EIF3H,-0.14795591627580507,0.16741517365542022,0.2642183711614056
NRADD,0.9720834923090074,0.02330185247114575,0.062029313358394
KC1A,0.7392723100297758,0.10955335609347722,0.1910685136814664
EF2,0.26446909649227024,0.08035261390489792,0.15211363244089565
PIGU,0.5961869065924645,0.09214235353656819,0.16692729271070675
PDCD2,-0.18204101932571604,0.07925702898362384,0.15054302216384224
DHRS4,-0.13948796806094066,0.6784631059337312,0.7620692327792942
SDF2,-1.0689099102939998,0.04623516343046006,0.10145766865109215
